============================================================
  ALU INTEGRATION TESTBENCH RESULTS
  Ports: (A, B, S, R) + (SF, ZF, DZF, EF, OF)
  ADD (S=00)  |  SUB (S=01)  |  MUL (S=10)
============================================================

--- ADDITION (S=00) ----------------------------------------
  A	  B	ExpR	R(got)	SF ZF DZF EF OF	Result
  -3	  -3	10110	10110	1  0   0   1  0	PASS
  -3	  -2	10101	10101	1  0   0   0  1	PASS
  -3	  -1	10100	10100	1  0   0   1  0	PASS
  -3	  0	10011	10011	1  0   0   0  1	PASS
  -3	  1	10010	10010	1  0   0   1  0	PASS
  -3	  2	10001	10001	1  0   0   0  1	PASS
  -3	  3	00000	00000	0  1   0   1  0	PASS
  -2	  -3	10101	10101	1  0   0   0  1	PASS
  -2	  -2	10100	10100	1  0   0   1  0	PASS
  -2	  -1	10011	10011	1  0   0   0  1	PASS
  -2	  0	10010	10010	1  0   0   1  0	PASS
  -2	  1	10001	10001	1  0   0   0  1	PASS
  -2	  2	00000	00000	0  1   0   1  0	PASS
  -2	  3	00001	00001	0  0   0   0  1	PASS
  -1	  -3	10100	10100	1  0   0   1  0	PASS
  -1	  -2	10011	10011	1  0   0   0  1	PASS
  -1	  -1	10010	10010	1  0   0   1  0	PASS
  -1	  0	10001	10001	1  0   0   0  1	PASS
  -1	  1	00000	00000	0  1   0   1  0	PASS
  -1	  2	00001	00001	0  0   0   0  1	PASS
  -1	  3	00010	00010	0  0   0   1  0	PASS
  0	  -3	10011	10011	1  0   0   0  1	PASS
  0	  -2	10010	10010	1  0   0   1  0	PASS
  0	  -1	10001	10001	1  0   0   0  1	PASS
  0	  0	00000	00000	0  1   0   1  0	PASS
  0	  1	00001	00001	0  0   0   0  1	PASS
  0	  2	00010	00010	0  0   0   1  0	PASS
  0	  3	00011	00011	0  0   0   0  1	PASS
  1	  -3	10010	10010	1  0   0   1  0	PASS
  1	  -2	10001	10001	1  0   0   0  1	PASS
  1	  -1	00000	00000	0  1   0   1  0	PASS
  1	  0	00001	00001	0  0   0   0  1	PASS
  1	  1	00010	00010	0  0   0   1  0	PASS
  1	  2	00011	00011	0  0   0   0  1	PASS
  1	  3	00100	00100	0  0   0   1  0	PASS
  2	  -3	10001	10001	1  0   0   0  1	PASS
  2	  -2	00000	00000	0  1   0   1  0	PASS
  2	  -1	00001	00001	0  0   0   0  1	PASS
  2	  0	00010	00010	0  0   0   1  0	PASS
  2	  1	00011	00011	0  0   0   0  1	PASS
  2	  2	00100	00100	0  0   0   1  0	PASS
  2	  3	00101	00101	0  0   0   0  1	PASS
  3	  -3	00000	00000	0  1   0   1  0	PASS
  3	  -2	00001	00001	0  0   0   0  1	PASS
  3	  -1	00010	00010	0  0   0   1  0	PASS
  3	  0	00011	00011	0  0   0   0  1	PASS
  3	  1	00100	00100	0  0   0   1  0	PASS
  3	  2	00101	00101	0  0   0   0  1	PASS
  3	  3	00110	00110	0  0   0   1  0	PASS

--- SUBTRACTION (S=01) -------------------------------------
  A	  B	ExpR	R(got)	SF ZF DZF EF OF	Result
  -3	  -3	00000	00000	0  1   0   1  0	PASS
  -3	  -2	10001	10001	1  0   0   0  1	PASS
  -3	  -1	10010	10010	1  0   0   1  0	PASS
  -3	  0	10011	10011	1  0   0   0  1	PASS
  -3	  1	10100	10100	1  0   0   1  0	PASS
  -3	  2	10101	10101	1  0   0   0  1	PASS
  -3	  3	10110	10110	1  0   0   1  0	PASS
  -2	  -3	00001	00001	0  0   0   0  1	PASS
  -2	  -2	00000	00000	0  1   0   1  0	PASS
  -2	  -1	10001	10001	1  0   0   0  1	PASS
  -2	  0	10010	10010	1  0   0   1  0	PASS
  -2	  1	10011	10011	1  0   0   0  1	PASS
  -2	  2	10100	10100	1  0   0   1  0	PASS
  -2	  3	10101	10101	1  0   0   0  1	PASS
  -1	  -3	00010	00010	0  0   0   1  0	PASS
  -1	  -2	00001	00001	0  0   0   0  1	PASS
  -1	  -1	00000	00000	0  1   0   1  0	PASS
  -1	  0	10001	10001	1  0   0   0  1	PASS
  -1	  1	10010	10010	1  0   0   1  0	PASS
  -1	  2	10011	10011	1  0   0   0  1	PASS
  -1	  3	10100	10100	1  0   0   1  0	PASS
  0	  -3	00011	00011	0  0   0   0  1	PASS
  0	  -2	00010	00010	0  0   0   1  0	PASS
  0	  -1	00001	00001	0  0   0   0  1	PASS
  0	  0	00000	00000	0  1   0   1  0	PASS
  0	  1	10001	10001	1  0   0   0  1	PASS
  0	  2	10010	10010	1  0   0   1  0	PASS
  0	  3	10011	10011	1  0   0   0  1	PASS
  1	  -3	00100	00100	0  0   0   1  0	PASS
  1	  -2	00011	00011	0  0   0   0  1	PASS
  1	  -1	00010	00010	0  0   0   1  0	PASS
  1	  0	00001	00001	0  0   0   0  1	PASS
  1	  1	00000	00000	0  1   0   1  0	PASS
  1	  2	10001	10001	1  0   0   0  1	PASS
  1	  3	10010	10010	1  0   0   1  0	PASS
  2	  -3	00101	00101	0  0   0   0  1	PASS
  2	  -2	00100	00100	0  0   0   1  0	PASS
  2	  -1	00011	00011	0  0   0   0  1	PASS
  2	  0	00010	00010	0  0   0   1  0	PASS
  2	  1	00001	00001	0  0   0   0  1	PASS
  2	  2	00000	00000	0  1   0   1  0	PASS
  2	  3	10001	10001	1  0   0   0  1	PASS
  3	  -3	00110	00110	0  0   0   1  0	PASS
  3	  -2	00101	00101	0  0   0   0  1	PASS
  3	  -1	00100	00100	0  0   0   1  0	PASS
  3	  0	00011	00011	0  0   0   0  1	PASS
  3	  1	00010	00010	0  0   0   1  0	PASS
  3	  2	00001	00001	0  0   0   0  1	PASS
  3	  3	00000	00000	0  1   0   1  0	PASS

--- MULTIPLICATION (S=10) ----------------------------------
  A	  B	ExpR	R(got)	SF ZF DZF EF OF	Result
  -3	  -3	01001	01001	0  0   0   0  1	PASS
  -3	  -2	00110	00110	0  0   0   1  0	PASS
  -3	  -1	00011	00011	0  0   0   0  1	PASS
  -3	  0	00000	00000	0  1   0   1  0	PASS
  -3	  1	10011	10011	1  0   0   0  1	PASS
  -3	  2	10110	10110	1  0   0   1  0	PASS
  -3	  3	11001	11001	1  0   0   0  1	PASS
  -2	  -3	00110	00110	0  0   0   1  0	PASS
  -2	  -2	00100	00100	0  0   0   1  0	PASS
  -2	  -1	00010	00010	0  0   0   1  0	PASS
  -2	  0	00000	00000	0  1   0   1  0	PASS
  -2	  1	10010	10010	1  0   0   1  0	PASS
  -2	  2	10100	10100	1  0   0   1  0	PASS
  -2	  3	10110	10110	1  0   0   1  0	PASS
  -1	  -3	00011	00011	0  0   0   0  1	PASS
  -1	  -2	00010	00010	0  0   0   1  0	PASS
  -1	  -1	00001	00001	0  0   0   0  1	PASS
  -1	  0	00000	00000	0  1   0   1  0	PASS
  -1	  1	10001	10001	1  0   0   0  1	PASS
  -1	  2	10010	10010	1  0   0   1  0	PASS
  -1	  3	10011	10011	1  0   0   0  1	PASS
  0	  -3	00000	00000	0  1   0   1  0	PASS
  0	  -2	00000	00000	0  1   0   1  0	PASS
  0	  -1	00000	00000	0  1   0   1  0	PASS
  0	  0	00000	00000	0  1   0   1  0	PASS
  0	  1	00000	00000	0  1   0   1  0	PASS
  0	  2	00000	00000	0  1   0   1  0	PASS
  0	  3	00000	00000	0  1   0   1  0	PASS
  1	  -3	10011	10011	1  0   0   0  1	PASS
  1	  -2	10010	10010	1  0   0   1  0	PASS
  1	  -1	10001	10001	1  0   0   0  1	PASS
  1	  0	00000	00000	0  1   0   1  0	PASS
  1	  1	00001	00001	0  0   0   0  1	PASS
  1	  2	00010	00010	0  0   0   1  0	PASS
  1	  3	00011	00011	0  0   0   0  1	PASS
  2	  -3	10110	10110	1  0   0   1  0	PASS
  2	  -2	10100	10100	1  0   0   1  0	PASS
  2	  -1	10010	10010	1  0   0   1  0	PASS
  2	  0	00000	00000	0  1   0   1  0	PASS
  2	  1	00010	00010	0  0   0   1  0	PASS
  2	  2	00100	00100	0  0   0   1  0	PASS
  2	  3	00110	00110	0  0   0   1  0	PASS
  3	  -3	11001	11001	1  0   0   0  1	PASS
  3	  -2	10110	10110	1  0   0   1  0	PASS
  3	  -1	10011	10011	1  0   0   0  1	PASS
  3	  0	00000	00000	0  1   0   1  0	PASS
  3	  1	00011	00011	0  0   0   0  1	PASS
  3	  2	00110	00110	0  0   0   1  0	PASS
  3	  3	01001	01001	0  0   0   0  1	PASS

============================================================
  TOTAL:  147 tests  |  PASSED: 147  |  FAILED: 0
============================================================
