A       A(bin)  B       B(bin)  Result  R(bin)  SF  ZF  EF  OF
-3      111     -3      111      9      01001   0   0   0   1
-3      111     -2      110      6      00110   0   0   1   0
-3      111     -1      101      3      00011   0   0   0   1
-3      111      0      000      0      00000   0   1   1   0
-3      111      1      001     -3      10011   1   0   0   1
-3      111      2      010     -6      10110   1   0   1   0
-3      111      3      011     -9      11001   1   0   0   1
-2      110     -3      111      6      00110   0   0   1   0
-2      110     -2      110      4      00100   0   0   1   0
-2      110     -1      101      2      00010   0   0   1   0
-2      110      0      000      0      00000   0   1   1   0
-2      110      1      001     -2      10010   1   0   1   0
-2      110      2      010     -4      10100   1   0   1   0
-2      110      3      011     -6      10110   1   0   1   0
-1      101     -3      111      3      00011   0   0   0   1
-1      101     -2      110      2      00010   0   0   1   0
-1      101     -1      101      1      00001   0   0   0   1
-1      101      0      000      0      00000   0   1   1   0
-1      101      1      001     -1      10001   1   0   0   1
-1      101      2      010     -2      10010   1   0   1   0
-1      101      3      011     -3      10011   1   0   0   1
 0      000     -3      111      0      00000   0   1   1   0
 0      000     -2      110      0      00000   0   1   1   0
 0      000     -1      101      0      00000   0   1   1   0
 0      000      0      000      0      00000   0   1   1   0
 0      000      1      001      0      00000   0   1   1   0
 0      000      2      010      0      00000   0   1   1   0
 0      000      3      011      0      00000   0   1   1   0
 1      001     -3      111     -3      10011   1   0   0   1
 1      001     -2      110     -2      10010   1   0   1   0
 1      001     -1      101     -1      10001   1   0   0   1
 1      001      0      000      0      00000   0   1   1   0
 1      001      1      001      1      00001   0   0   0   1
 1      001      2      010      2      00010   0   0   1   0
 1      001      3      011      3      00011   0   0   0   1
 2      010     -3      111     -6      10110   1   0   1   0
 2      010     -2      110     -4      10100   1   0   1   0
 2      010     -1      101     -2      10010   1   0   1   0
 2      010      0      000      0      00000   0   1   1   0
 2      010      1      001      2      00010   0   0   1   0
 2      010      2      010      4      00100   0   0   1   0
 2      010      3      011      6      00110   0   0   1   0
 3      011     -3      111     -9      11001   1   0   0   1
 3      011     -2      110     -6      10110   1   0   1   0
 3      011     -1      101     -3      10011   1   0   0   1
 3      011      0      000      0      00000   0   1   1   0
 3      011      1      001      3      00011   0   0   0   1
 3      011      2      010      6      00110   0   0   1   0
 3      011      3      011      9      01001   0   0   0   1
