A       A(bin)  B       B(bin)  Result  R(bin)  SF  ZF  EF  OF
-3      111     -3      111      0      0000    0   1   1   0
-3      111     -2      110     -1      1001    1   0   0   1
-3      111     -1      101     -2      1010    1   0   1   0
-3      111      0      000     -3      1011    1   0   0   1
-3      111      1      001     -4      1100    1   0   1   0
-3      111      2      010     -5      1101    1   0   0   1
-3      111      3      011     -6      1110    1   0   1   0
-2      110     -3      111      1      0001    0   0   0   1
-2      110     -2      110      0      0000    0   1   1   0
-2      110     -1      101     -1      1001    1   0   0   1
-2      110      0      000     -2      1010    1   0   1   0
-2      110      1      001     -3      1011    1   0   0   1
-2      110      2      010     -4      1100    1   0   1   0
-2      110      3      011     -5      1101    1   0   0   1
-1      101     -3      111      2      0010    0   0   1   0
-1      101     -2      110      1      0001    0   0   0   1
-1      101     -1      101      0      0000    0   1   1   0
-1      101      0      000     -1      1001    1   0   0   1
-1      101      1      001     -2      1010    1   0   1   0
-1      101      2      010     -3      1011    1   0   0   1
-1      101      3      011     -4      1100    1   0   1   0
 0      000     -3      111      3      0011    0   0   0   1
 0      000     -2      110      2      0010    0   0   1   0
 0      000     -1      101      1      0001    0   0   0   1
 0      000      0      000      0      0000    0   1   1   0
 0      000      1      001     -1      1001    1   0   0   1
 0      000      2      010     -2      1010    1   0   1   0
 0      000      3      011     -3      1011    1   0   0   1
 1      001     -3      111      4      0100    0   0   1   0
 1      001     -2      110      3      0011    0   0   0   1
 1      001     -1      101      2      0010    0   0   1   0
 1      001      0      000      1      0001    0   0   0   1
 1      001      1      001      0      0000    0   1   1   0
 1      001      2      010     -1      1001    1   0   0   1
 1      001      3      011     -2      1010    1   0   1   0
 2      010     -3      111      5      0101    0   0   0   1
 2      010     -2      110      4      0100    0   0   1   0
 2      010     -1      101      3      0011    0   0   0   1
 2      010      0      000      2      0010    0   0   1   0
 2      010      1      001      1      0001    0   0   0   1
 2      010      2      010      0      0000    0   1   1   0
 2      010      3      011     -1      1001    1   0   0   1
 3      011     -3      111      6      0110    0   0   1   0
 3      011     -2      110      5      0101    0   0   0   1
 3      011     -1      101      4      0100    0   0   1   0
 3      011      0      000      3      0011    0   0   0   1
 3      011      1      001      2      0010    0   0   1   0
 3      011      2      010      1      0001    0   0   0   1
 3      011      3      011      0      0000    0   1   1   0
